la_district_code,la_district_name,domain,rank
E06000001,Hartlepool,Income,29
E06000002,Middlesbrough,Income,18
E06000003,Redcar and Cleveland,Income,53
E06000004,Stockton-on-Tees,Income,82
E06000005,Darlington,Income,80
E06000006,Halton,Income,60
E06000007,Warrington,Income,126
E06000008,Blackburn with Darwen,Income,13
E06000009,Blackpool,Income,10
E06000010,"Kingston upon Hull, City of",Income,16
E06000011,East Riding of Yorkshire,Income,130
E06000012,North East Lincolnshire,Income,56
E06000013,North Lincolnshire,Income,81
E06000014,York,Income,147
E06000015,Derby,Income,47
E06000016,Leicester,Income,12
E06000017,Rutland,Income,150
E06000018,Nottingham,Income,28
E06000019,"Herefordshire, County of",Income,106
E06000020,Telford and Wrekin,Income,50
E06000021,Stoke-on-Trent,Income,27
E06000022,Bath and North East Somerset,Income,144
E06000023,"Bristol, City of",Income,98
E06000024,North Somerset,Income,127
E06000025,South Gloucestershire,Income,138
E06000026,Plymouth,Income,71
E06000027,Torbay,Income,51
E06000030,Swindon,Income,100
E06000031,Peterborough,Income,34
E06000032,Luton,Income,8
E06000033,Southend-on-Sea,Income,73
E06000034,Thurrock,Income,68
E06000035,Medway,Income,75
E06000036,Bracknell Forest,Income,142
E06000037,West Berkshire,Income,143
E06000038,Reading,Income,86
E06000039,Slough,Income,26
E06000040,Windsor and Maidenhead,Income,149
E06000041,Wokingham,Income,151
E06000042,Milton Keynes,Income,85
E06000043,Brighton and Hove,Income,92
E06000044,Portsmouth,Income,61
E06000045,Southampton,Income,57
E06000046,Isle of Wight,Income,66
E06000047,County Durham,Income,59
E06000049,Cheshire East,Income,139
E06000050,Cheshire West and Chester,Income,125
E06000051,Shropshire,Income,118
E06000052,Cornwall,Income,76
E06000053,Isles of Scilly,Income,153
E06000054,Wiltshire,Income,135
E06000055,Bedford,Income,88
E06000056,Central Bedfordshire,Income,129
E06000057,Northumberland,Income,101
E06000058,"Bournemouth, Christchurch and Poole",Income,99
E06000059,Dorset,Income,123
E06000060,Buckinghamshire,Income,140
E06000061,North Northamptonshire,Income,94
E06000062,West Northamptonshire,Income,116
E06000063,Cumberland,Income,104
E06000064,Westmorland and Furness,Income,141
E06000065,North Yorkshire,Income,136
E06000066,Somerset,Income,107
E08000001,Bolton,Income,35
E08000002,Bury,Income,70
E08000003,Manchester,Income,14
E08000004,Oldham,Income,20
E08000005,Rochdale,Income,23
E08000006,Salford,Income,39
E08000007,Stockport,Income,121
E08000008,Tameside,Income,38
E08000009,Trafford,Income,131
E08000010,Wigan,Income,83
E08000011,Knowsley,Income,22
E08000012,Liverpool,Income,30
E08000013,St. Helens,Income,64
E08000014,Sefton,Income,79
E08000015,Wirral,Income,78
E08000016,Barnsley,Income,40
E08000017,Doncaster,Income,41
E08000018,Rotherham,Income,48
E08000019,Sheffield,Income,72
E08000021,Newcastle upon Tyne,Income,74
E08000022,North Tyneside,Income,89
E08000023,South Tyneside,Income,33
E08000024,Sunderland,Income,36
E08000025,Birmingham,Income,7
E08000026,Coventry,Income,44
E08000027,Dudley,Income,63
E08000028,Sandwell,Income,4
E08000029,Solihull,Income,115
E08000030,Walsall,Income,19
E08000031,Wolverhampton,Income,11
E08000032,Bradford,Income,25
E08000033,Calderdale,Income,67
E08000034,Kirklees,Income,62
E08000035,Leeds,Income,84
E08000036,Wakefield,Income,65
E08000037,Gateshead,Income,52
E09000001,City of London,Income,152
E09000002,Barking and Dagenham,Income,1
E09000003,Barnet,Income,55
E09000004,Bexley,Income,108
E09000005,Brent,Income,6
E09000006,Bromley,Income,132
E09000007,Camden,Income,58
E09000008,Croydon,Income,45
E09000009,Ealing,Income,17
E09000010,Enfield,Income,9
E09000011,Greenwich,Income,37
E09000012,Hackney,Income,5
E09000013,Hammersmith and Fulham,Income,69
E09000014,Haringey,Income,15
E09000015,Harrow,Income,49
E09000016,Havering,Income,93
E09000017,Hillingdon,Income,54
E09000018,Hounslow,Income,31
E09000019,Islington,Income,21
E09000020,Kensington and Chelsea,Income,114
E09000021,Kingston upon Thames,Income,124
E09000022,Lambeth,Income,46
E09000023,Lewisham,Income,32
E09000024,Merton,Income,96
E09000025,Newham,Income,2
E09000026,Redbridge,Income,42
E09000027,Richmond upon Thames,Income,148
E09000028,Southwark,Income,43
E09000029,Sutton,Income,109
E09000030,Tower Hamlets,Income,3
E09000031,Waltham Forest,Income,24
E09000032,Wandsworth,Income,102
E09000033,Westminster,Income,77
E10000003,Cambridgeshire,Income,134
E10000007,Derbyshire,Income,105
E10000008,Devon,Income,113
E10000011,East Sussex,Income,91
E10000012,Essex,Income,110
E10000013,Gloucestershire,Income,128
E10000014,Hampshire,Income,137
E10000015,Hertfordshire,Income,120
E10000016,Kent,Income,95
E10000017,Lancashire,Income,90
E10000018,Leicestershire,Income,133
E10000019,Lincolnshire,Income,87
E10000020,Norfolk,Income,97
E10000024,Nottinghamshire,Income,103
E10000025,Oxfordshire,Income,145
E10000028,Staffordshire,Income,117
E10000029,Suffolk,Income,111
E10000030,Surrey,Income,146
E10000031,Warwickshire,Income,122
E10000032,West Sussex,Income,119
E10000034,Worcestershire,Income,112
E06000001,Hartlepool,Employment,6
E06000002,Middlesbrough,Employment,9
E06000003,Redcar and Cleveland,Employment,21
E06000004,Stockton-on-Tees,Employment,62
E06000005,Darlington,Employment,57
E06000006,Halton,Employment,30
E06000007,Warrington,Employment,103
E06000008,Blackburn with Darwen,Employment,15
E06000009,Blackpool,Employment,1
E06000010,"Kingston upon Hull, City of",Employment,16
