la_district_code,la_disctrict_name,imd_average_rank
E06000001,Hartlepool,23
E06000002,Middlesbrough,17
E06000003,Redcar and Cleveland,46
E06000004,Stockton-on-Tees,82
E06000005,Darlington,70
E06000006,Halton,42
E06000007,Warrington,121
E06000008,Blackburn with Darwen,9
E06000009,Blackpool,1
E06000010,"Kingston upon Hull, City of",11
E06000011,East Riding of Yorkshire,125
E06000012,North East Lincolnshire,58
E06000013,North Lincolnshire,71
E06000014,York,145
E06000015,Derby,57
E06000016,Leicester,4
E06000017,Rutland,149
E06000018,Nottingham,14
E06000019,"Herefordshire, County of",94
E06000020,Telford and Wrekin,66
E06000021,Stoke-on-Trent,21
E06000022,Bath and North East Somerset,141
E06000023,"Bristol, City of",85
E06000024,North Somerset,128
E06000025,South Gloucestershire,142
E06000026,Plymouth,68
E06000027,Torbay,39
E06000030,Swindon,113
E06000031,Peterborough,40
E06000032,Luton,25
E06000033,Southend-on-Sea,77
E06000034,Thurrock,78
E06000035,Medway,65
E06000036,Bracknell Forest,148
E06000037,West Berkshire,143
E06000038,Reading,98
E06000039,Slough,53
E06000040,Windsor and Maidenhead,152
E06000041,Wokingham,153
E06000042,Milton Keynes,104
E06000043,Brighton and Hove,96
E06000044,Portsmouth,54
E06000045,Southampton,56
E06000046,Isle of Wight,43
E06000047,County Durham,37
E06000049,Cheshire East,135
E06000050,Cheshire West and Chester,117
E06000051,Shropshire,103
E06000052,Cornwall,62
E06000053,Isles of Scilly,130
E06000054,Wiltshire,129
E06000055,Bedford,95
E06000056,Central Bedfordshire,134
E06000057,Northumberland,88
E06000058,"Bournemouth, Christchurch and Poole",109
E06000059,Dorset,111
E06000060,Buckinghamshire,140
E06000061,North Northamptonshire,105
E06000062,West Northamptonshire,114
E06000063,Cumberland,67
E06000064,Westmorland and Furness,107
E06000065,North Yorkshire,118
E06000066,Somerset,93
E08000001,Bolton,33
E08000002,Bury,74
E08000003,Manchester,2
E08000004,Oldham,12
E08000005,Rochdale,15
E08000006,Salford,26
E08000007,Stockport,115
E08000008,Tameside,32
E08000009,Trafford,131
E08000010,Wigan,69
E08000011,Knowsley,13
E08000012,Liverpool,10
E08000013,St. Helens,50
E08000014,Sefton,76
E08000015,Wirral,73
E08000016,Barnsley,31
E08000017,Doncaster,34
E08000018,Rotherham,41
E08000019,Sheffield,64
E08000021,Newcastle upon Tyne,59
E08000022,North Tyneside,97
E08000023,South Tyneside,27
E08000024,Sunderland,24
E08000025,Birmingham,6
E08000026,Coventry,45
E08000027,Dudley,79
E08000028,Sandwell,3
E08000029,Solihull,126
E08000030,Walsall,29
E08000031,Wolverhampton,20
E08000032,Bradford,19
E08000033,Calderdale,52
E08000034,Kirklees,61
E08000035,Leeds,86
E08000036,Wakefield,47
E08000037,Gateshead,44
E09000001,City of London,147
E09000002,Barking and Dagenham,7
E09000003,Barnet,89
E09000004,Bexley,122
E09000005,Brent,18
E09000006,Bromley,139
E09000007,Camden,60
E09000008,Croydon,72
E09000009,Ealing,35
E09000010,Enfield,28
E09000011,Greenwich,55
E09000012,Hackney,8
E09000013,Hammersmith and Fulham,75
E09000014,Haringey,22
E09000015,Harrow,102
E09000016,Havering,110
E09000017,Hillingdon,81
E09000018,Hounslow,38
E09000019,Islington,30
E09000020,Kensington and Chelsea,90
E09000021,Kingston upon Thames,144
E09000022,Lambeth,51
E09000023,Lewisham,36
E09000024,Merton,127
E09000025,Newham,5
E09000026,Redbridge,87
E09000027,Richmond upon Thames,151
E09000028,Southwark,49
E09000029,Sutton,132
E09000030,Tower Hamlets,16
E09000031,Waltham Forest,48
E09000032,Wandsworth,120
E09000033,Westminster,63
E10000003,Cambridgeshire,133
E10000007,Derbyshire,99
E10000008,Devon,101
E10000011,East Sussex,91
E10000012,Essex,108
E10000013,Gloucestershire,124
E10000014,Hampshire,138
E10000015,Hertfordshire,136
E10000016,Kent,92
E10000017,Lancashire,84
E10000018,Leicestershire,137
E10000019,Lincolnshire,80
E10000020,Norfolk,83
E10000024,Nottinghamshire,106
E10000025,Oxfordshire,146
E10000028,Staffordshire,116
E10000029,Suffolk,100
E10000030,Surrey,150
E10000031,Warwickshire,119
E10000032,West Sussex,123
E10000034,Worcestershire,112
